destination,month,airline,average_price_naira,booking_window_weeks
France,March,Malaysia Airlines,1263529,6
France,March,Thai Airways,1315156,7
France,March,Air India,1295779,6
France,March,Brussels Airlines,1474405,6
France,March,Swiss Air,1275750,1
France,March,Finnair,1545168,6
France,March,Austrian Airlines,1358764,12
France,April,Emirates,1462567,2
France,April,Qatar Airways,1552257,9
France,April,Turkish Airlines,1312263,10
France,April,British Airways,1627904,1
France,April,Lufthansa,1568269,6
France,April,Air France,1666810,5
France,April,KLM,1306035,7
France,April,Delta Airlines,1298526,10
France,April,United Airlines,1626865,7
France,April,Virgin Atlantic,1544218,7
France,April,Ethiopian Airlines,1636489,9
France,April,Kenya Airways,1523730,4
France,April,RwandAir,1367993,5
France,April,South African Airways,1492785,3
France,April,Air Canada,1454359,5
France,April,Singapore Airlines,1319347,11
France,April,Etihad Airways,1451851,11
France,April,Saudi Airlines,1491620,6
France,April,EgyptAir,1644209,5
France,April,Royal Air Maroc,1441375,5
France,April,American Airlines,1444760,9
France,April,Cathay Pacific,1286929,8
France,April,Japan Airlines,1285756,4
France,April,Malaysia Airlines,1665432,3
France,April,Thai Airways,1474138,4
France,April,Air India,1482863,6
France,April,Brussels Airlines,1501606,9
France,April,Swiss Air,1435020,6
France,April,Finnair,1348980,3
France,April,Austrian Airlines,1614532,3
France,May,Emirates,1490347,11
France,May,Qatar Airways,1649188,5
France,May,Turkish Airlines,1607772,6
France,May,British Airways,1540271,11
France,May,Lufthansa,1640118,11
France,May,Air France,1330350,9
France,May,KLM,1423774,2
France,May,Delta Airlines,1561222,5
France,May,United Airlines,1549632,6
France,May,Virgin Atlantic,1614224,5
France,May,Ethiopian Airlines,1401283,3
France,May,Kenya Airways,1441896,9
France,May,RwandAir,1359301,7
France,May,South African Airways,1374449,10
France,May,Air Canada,1473081,9
France,May,Singapore Airlines,1507777,4
France,May,Etihad Airways,1666435,1
France,May,Saudi Airlines,1401448,11
France,May,EgyptAir,1384741,8
France,May,Royal Air Maroc,1283214,6
France,May,American Airlines,1352971,11
France,May,Cathay Pacific,1553170,2
France,May,Japan Airlines,1426840,10
France,May,Malaysia Airlines,1449114,4
France,May,Thai Airways,1348396,10
France,May,Air India,1659253,2
France,May,Brussels Airlines,1465917,3
France,May,Swiss Air,1403676,1
France,May,Finnair,1293645,1
France,May,Austrian Airlines,1305877,4
France,June,Emirates,1346774,10
France,June,Qatar Airways,1477603,8
France,June,Turkish Airlines,1658533,6
France,June,British Airways,1448316,6
France,June,Lufthansa,1393801,1
France,June,Air France,1307464,2
France,June,KLM,1515171,5
France,June,Delta Airlines,1620066,6
France,June,United Airlines,1645792,7
France,June,Virgin Atlantic,1609565,2
France,June,Ethiopian Airlines,1364629,12
France,June,Kenya Airways,1617440,4
France,June,RwandAir,1386404,6
France,June,South African Airways,1268215,7
France,June,Air Canada,1401384,8
France,June,Singapore Airlines,1384679,7
France,June,Etihad Airways,1316975,6
France,June,Saudi Airlines,1555997,2
France,June,EgyptAir,1316376,4
France,June,Royal Air Maroc,1497435,1
France,June,American Airlines,1429398,8
France,June,Cathay Pacific,1645826,3
France,June,Japan Airlines,1392481,3
France,June,Malaysia Airlines,1358408,7
France,June,Thai Airways,1302849,10
France,June,Air India,1406749,6
France,June,Brussels Airlines,1484248,8
France,June,Swiss Air,1372223,6
France,June,Finnair,1446219,7
France,June,Austrian Airlines,1321720,4
France,July,Emirates,1888550,7
France,July,Qatar Airways,2028485,6
France,July,Turkish Airlines,1702595,11
France,July,British Airways,1589268,1
France,July,Lufthansa,1846996,5
France,July,Air France,2229358,2
France,July,KLM,2032992,3
France,July,Delta Airlines,1820557,7
France,July,United Airlines,1936248,5
France,July,Virgin Atlantic,1728896,5
France,July,Ethiopian Airlines,1688933,10
France,July,Kenya Airways,1865295,11
France,July,RwandAir,1959897,3
France,July,South African Airways,2279185,2
France,July,Air Canada,2214574,7
France,July,Singapore Airlines,2191777,1
France,July,Etihad Airways,1959206,12
France,July,Saudi Airlines,2175045,1
France,July,EgyptAir,1967459,9
France,July,Royal Air Maroc,1982553,7
France,July,American Airlines,2241599,8
France,July,Cathay Pacific,1920088,3
France,July,Japan Airlines,1781319,6
France,July,Malaysia Airlines,2464139,10
France,July,Thai Airways,1622551,4
France,July,Air India,1575251,10
France,July,Brussels Airlines,1782446,10
France,July,Swiss Air,2371285,11
France,July,Finnair,2067992,10
France,July,Austrian Airlines,2224273,8
France,August,Emirates,1934430,12
France,August,Qatar Airways,1795646,7
France,August,Turkish Airlines,1873866,2
France,August,British Airways,1890003,2
France,August,Lufthansa,2063420,11
France,August,Air France,2036968,5
France,August,KLM,2045639,7
France,August,Delta Airlines,1977695,4
France,August,United Airlines,2124674,3
France,August,Virgin Atlantic,1943730,1
France,August,Ethiopian Airlines,1918898,8
France,August,Kenya Airways,2225859,7
France,August,RwandAir,1829522,11
France,August,South African Airways,1916094,12
France,August,Air Canada,1791043,1
France,August,Singapore Airlines,1945944,6
France,August,Etihad Airways,1798420,1
France,August,Saudi Airlines,1661405,4
France,August,EgyptAir,2184932,6
France,August,Royal Air Maroc,1968495,8
France,August,American Airlines,1668047,5
France,August,Cathay Pacific,2282974,4
France,August,Japan Airlines,1989025,11
France,August,Malaysia Airlines,2021736,1
France,August,Thai Airways,2240039,11
France,August,Air India,2003375,5
France,August,Brussels Airlines,1668473,2
France,August,Swiss Air,2077922,1
France,August,Finnair,1982963,9
France,August,Austrian Airlines,1831979,1
France,September,Emirates,1409244,3
France,September,Qatar Airways,1552068,2
France,September,Turkish Airlines,1506135,1
France,September,British Airways,1290587,10
France,September,Lufthansa,1624763,1
France,September,Air France,1421462,10
France,September,KLM,1383395,3
France,September,Delta Airlines,1507484,5
France,September,United Airlines,1670081,10
France,September,Virgin Atlantic,1650326,8
France,September,Ethiopian Airlines,1253985,4
France,September,Kenya Airways,1659087,12
France,September,RwandAir,1459238,1
France,September,South African Airways,1266040,6
France,September,Air Canada,1656944,8
France,September,Singapore Airlines,1287880,11
France,September,Etihad Airways,1567759,4
France,September,Saudi Airlines,1495390,12
France,September,EgyptAir,1486052,4
France,September,Royal Air Maroc,1574594,2
France,September,American Airlines,1440569,8
France,September,Cathay Pacific,1265102,7
France,September,Japan Airlines,1375054,5
France,September,Malaysia Airlines,1387974,10
France,September,Thai Airways,1535269,7
France,September,Air India,1359645,1
France,September,Brussels Airlines,1653978,1
France,September,Swiss Air,1624606,4
France,September,Finnair,1558087,1
France,September,Austrian Airlines,1514724,12
France,October,Emirates,1469675,10
France,October,Qatar Airways,1577895,5
France,October,Turkish Airlines,1529450,2
France,October,British Airways,1571745,11
France,October,Lufthansa,1641125,9
France,October,Air France,1506975,9
France,October,KLM,1410770,1
France,October,Delta Airlines,1348502,6
France,October,United Airlines,1328072,4
France,October,Virgin Atlantic,1580542,7
France,October,Ethiopian Airlines,1534330,5
France,October,Kenya Airways,1561397,2
France,October,RwandAir,1365697,10
France,October,South African Airways,1375166,5
France,October,Air Canada,1607926,10
France,October,Singapore Airlines,1662994,2
France,October,Etihad Airways,1482596,8
France,October,Saudi Airlines,1634012,1
France,October,EgyptAir,1536025,1
France,October,Royal Air Maroc,1272947,6
France,October,American Airlines,1476351,8
France,October,Cathay Pacific,1324442,12
France,October,Japan Airlines,1447452,7
France,October,Malaysia Airlines,1317503,2
France,October,Thai Airways,1552719,6
France,October,Air India,1279144,3
France,October,Brussels Airlines,1635255,1
France,October,Swiss Air,1629974,1
France,October,Finnair,1359743,2
France,October,Austrian Airlines,1254982,6
France,November,Emirates,1538791,2
France,November,Qatar Airways,1582601,8
France,November,Turkish Airlines,1652455,5
France,November,British Airways,1416382,7
France,November,Lufthansa,1479266,3
France,November,Air France,1343541,12
France,November,KLM,1256311,4
France,November,Delta Airlines,1472393,2
France,November,United Airlines,1367870,3
France,November,Virgin Atlantic,1664066,9
France,November,Ethiopian Airlines,1379157,6
France,November,Kenya Airways,1570258,3
France,November,RwandAir,1407728,6
France,November,South African Airways,1521346,6
France,November,Air Canada,1540909,11
France,November,Singapore Airlines,1447702,11
France,November,Etihad Airways,1465159,1
France,November,Saudi Airlines,1399938,2
France,November,EgyptAir,1312128,5
France,November,Royal Air Maroc,1308615,4
France,November,American Airlines,1436957,1
France,November,Cathay Pacific,1402512,11
France,November,Japan Airlines,1390879,10
France,November,Malaysia Airlines,1602352,5
France,November,Thai Airways,1486968,3
France,November,Air India,1615090,11
France,November,Brussels Airlines,1372125,9
France,November,Swiss Air,1622283,5
France,November,Finnair,1530272,12
France,November,Austrian Airlines,1284875,9
France,December,Emirates,1867751,1
France,December,Qatar Airways,1642415,5
France,December,Turkish Airlines,1689565,5
France,December,British Airways,2005080,1
France,December,Lufthansa,2198664,8
France,December,Air France,1860947,5
France,December,KLM,1596340,10
France,December,Delta Airlines,2140110,8
France,December,United Airlines,2006457,7
France,December,Virgin Atlantic,1881140,12
France,December,Ethiopian Airlines,1843436,2
France,December,Kenya Airways,2039743,7
France,December,RwandAir,2107615,12
France,December,South African Airways,1814193,7
France,December,Air Canada,1914858,1
France,December,Singapore Airlines,1959518,2
France,December,Etihad Airways,1967411,4
France,December,Saudi Airlines,1941714,2
France,December,EgyptAir,2322798,8
France,December,Royal Air Maroc,1808333,4
France,December,American Airlines,1858821,12
France,December,Cathay Pacific,1863745,10
France,December,Japan Airlines,1765023,2
France,December,Malaysia Airlines,2083728,6
France,December,Thai Airways,1872368,6
France,December,Air India,1718758,3
France,December,Brussels Airlines,1761222,12
France,December,Swiss Air,2075480,5
France,December,Finnair,2160774,7
France,December,Austrian Airlines,1868652,5
Germany,January,Emirates,1385666,7
Germany,January,Qatar Airways,1062598,12
Germany,January,Turkish Airlines,1096899,9
Germany,January,British Airways,1231409,7
Germany,January,Lufthansa,1197781,4
Germany,January,Air France,1324971,9
Germany,January,KLM,1129431,4
Germany,January,Delta Airlines,1146907,11
Germany,January,United Airlines,1121060,4
Germany,January,Virgin Atlantic,1416559,3
Germany,January,Ethiopian Airlines,1022651,1
Germany,January,Kenya Airways,1171617,11
Germany,January,RwandAir,1221339,4
Germany,January,South African Airways,1096602,2
Germany,January,Air Canada,1036519,6
Germany,January,Singapore Airlines,1409986,11
Germany,January,Etihad Airways,1047423,11
Germany,January,Saudi Airlines,1102009,6
Germany,January,EgyptAir,1120086,9
Germany,January,Royal Air Maroc,1242290,7
Germany,January,American Airlines,1230964,1
Germany,January,Cathay Pacific,1271943,6
Germany,January,Japan Airlines,1027358,7
Germany,January,Malaysia Airlines,1283631,12
Germany,January,Thai Airways,1443700,7
Germany,January,Air India,1273943,10
Germany,January,Brussels Airlines,1260222,9
Germany,January,Swiss Air,997217,5
Germany,January,Finnair,1289541,2
Germany,January,Austrian Airlines,1100278,5
Germany,February,Emirates,1150792,10
Germany,February,Qatar Airways,1330620,3
Germany,February,Turkish Airlines,1348985,2
Germany,February,British Airways,1151511,10
Germany,February,Lufthansa,1181683,12
Germany,February,Air France,1089776,9
Germany,February,KLM,1104141,12
Germany,February,Delta Airlines,1068423,5
Germany,February,United Airlines,1064648,9
Germany,February,Virgin Atlantic,1097879,3
Germany,February,Ethiopian Airlines,1253016,8
Germany,February,Kenya Airways,1035685,3
Germany,February,RwandAir,1423099,1
Germany,February,South African Airways,1217816,5
Germany,February,Air Canada,1223354,1
Germany,February,Singapore Airlines,1168364,7
Germany,February,Etihad Airways,1267923,6
Germany,February,Saudi Airlines,1273621,10
Germany,February,EgyptAir,1188660,10
Germany,February,Royal Air Maroc,1200683,10
Germany,February,American Airlines,1085910,12
Germany,February,Cathay Pacific,1382141,4
Germany,February,Japan Airlines,1029607,2
Germany,February,Malaysia Airlines,1146681,5
Germany,February,Thai Airways,1195513,7
Germany,February,Air India,1197611,5
Germany,February,Brussels Airlines,1370097,1
Germany,February,Swiss Air,1321360,5
Germany,February,Finnair,1092713,8
Germany,February,Austrian Airlines,1209075,10
Germany,March,Emirates,1282127,11
Germany,March,Qatar Airways,1265329,5
Germany,March,Turkish Airlines,1460364,7
Germany,March,British Airways,1223064,4
Germany,March,Lufthansa,1443720,5
Germany,March,Air France,1153732,12
Germany,March,KLM,1126048,6
Germany,March,Delta Airlines,1376720,2
Germany,March,United Airlines,1186720,4
Germany,March,Virgin Atlantic,1176303,8
Germany,March,Ethiopian Airlines,1446395,2
Germany,March,Kenya Airways,1438153,1
Germany,March,RwandAir,1465454,8
Germany,March,South African Airways,1351820,7
Germany,March,Air Canada,1148966,5
Germany,March,Singapore Airlines,1246305,2
Germany,March,Etihad Airways,1228312,4
Germany,March,Saudi Airlines,1427913,7
Germany,March,EgyptAir,1263442,6
Germany,March,Royal Air Maroc,1469624,8
Germany,March,American Airlines,1399960,5
Germany,March,Cathay Pacific,1362528,7
Germany,March,Japan Airlines,1439616,2
Germany,March,Malaysia Airlines,1159069,9
Germany,March,Thai Airways,1348080,11
Germany,March,Air India,1242786,7
Germany,March,Brussels Airlines,1396154,8
Germany,March,Swiss Air,1302829,10
Germany,March,Finnair,1447538,3
Germany,March,Austrian Airlines,1252933,7
Germany,April,Emirates,1334644,10
Germany,April,Qatar Airways,1304922,5
Germany,April,Turkish Airlines,1364537,7
Germany,April,British Airways,1352995,3
Germany,April,Lufthansa,1142488,2
Germany,April,Air France,1173556,5
Germany,April,KLM,1300817,10
Germany,April,Delta Airlines,1213449,5
Germany,April,United Airlines,1259890,4
Germany,April,Virgin Atlantic,1372179,4
Germany,April,Ethiopian Airlines,1438945,3
Germany,April,Kenya Airways,1367915,3
Germany,April,RwandAir,1222098,3
Germany,April,South African Airways,1430797,8
Germany,April,Air Canada,1418209,9
Germany,April,Singapore Airlines,1415722,12
Germany,April,Etihad Airways,1270763,12
Germany,April,Saudi Airlines,1206478,9
Germany,April,EgyptAir,1235106,5
Germany,April,Royal Air Maroc,1159966,9
Germany,April,American Airlines,1326372,7
Germany,April,Cathay Pacific,1140085,9
Germany,April,Japan Airlines,1461032,2
Germany,April,Malaysia Airlines,1489344,2
Germany,April,Thai Airways,1370240,11
Germany,April,Air India,1337776,1
Germany,April,Brussels Airlines,1257458,11
Germany,April,Swiss Air,1442187,1
Germany,April,Finnair,1446624,12
Germany,April,Austrian Airlines,1386923,3
Germany,May,Emirates,1228831,1
Germany,May,Qatar Airways,1479096,12
Germany,May,Turkish Airlines,1200053,12
Germany,May,British Airways,1472428,3
Germany,May,Lufthansa,1434103,12
Germany,May,Air France,1489943,10
Germany,May,KLM,1380202,12
Germany,May,Delta Airlines,1197440,1
Germany,May,United Airlines,1350811,1
Germany,May,Virgin Atlantic,1323918,1
Germany,May,Ethiopian Airlines,1464590,7
Germany,May,Kenya Airways,1291802,4
Germany,May,RwandAir,1440322,8
Germany,May,South African Airways,1365111,1
Germany,May,Air Canada,1147428,9
Germany,May,Singapore Airlines,1428677,9
Germany,May,Etihad Airways,1463580,3
Germany,May,Saudi Airlines,1200005,9
Germany,May,EgyptAir,1126227,9
Germany,May,Royal Air Maroc,1488153,10
Germany,May,American Airlines,1325103,8
Germany,May,Cathay Pacific,1276285,4
Germany,May,Japan Airlines,1430851,7
Germany,May,Malaysia Airlines,1429015,11
Germany,May,Thai Airways,1306148,5
Germany,May,Air India,1446427,9
Germany,May,Brussels Airlines,1292235,8
Germany,May,Swiss Air,1371162,4
Germany,May,Finnair,1310499,11
Germany,May,Austrian Airlines,1268049,9
Germany,June,Emirates,1397944,2
Germany,June,Qatar Airways,1470766,3
Germany,June,Turkish Airlines,1182895,12
Germany,June,British Airways,1316886,4
Germany,June,Lufthansa,1287559,9
Germany,June,Air France,1342522,6
Germany,June,KLM,1456175,1
Germany,June,Delta Airlines,1242753,11
Germany,June,United Airlines,1476709,11
Germany,June,Virgin Atlantic,1487311,5
Germany,June,Ethiopian Airlines,1467102,2
Germany,June,Kenya Airways,1259907,9
Germany,June,RwandAir,1175381,3
Germany,June,South African Airways,1169715,11
Germany,June,Air Canada,1218454,3
Germany,June,Singapore Airlines,1125951,12
Germany,June,Etihad Airways,1208300,6
Germany,June,Saudi Airlines,1230088,8
Germany,June,EgyptAir,1167391,3
Germany,June,Royal Air Maroc,1149263,10
Germany,June,American Airlines,1391925,5
Germany,June,Cathay Pacific,1408768,5
Germany,June,Japan Airlines,1429637,8
Germany,June,Malaysia Airlines,1448533,5
Germany,June,Thai Airways,1254949,9
Germany,June,Air India,1326983,12
Germany,June,Brussels Airlines,1299931,7
Germany,June,Swiss Air,1148232,5
Germany,June,Finnair,1282986,11
Germany,June,Austrian Airlines,1381810,12
Germany,July,Emirates,1790522,7
Germany,July,Qatar Airways,1823910,8
Germany,July,Turkish Airlines,1678757,9
Germany,July,British Airways,1729933,4
Germany,July,Lufthansa,1764469,10
Germany,July,Air France,1561664,7
Germany,July,KLM,1504404,8
Germany,July,Delta Airlines,1738358,8
Germany,July,United Airlines,1707943,12
Germany,July,Virgin Atlantic,1758138,10
Germany,July,Ethiopian Airlines,1554770,2
Germany,July,Kenya Airways,1751057,5
Germany,July,RwandAir,1538369,3
Germany,July,South African Airways,1722444,12
Germany,July,Air Canada,1982176,6
Germany,July,Singapore Airlines,1604803,1
Germany,July,Etihad Airways,1449673,1
Germany,July,Saudi Airlines,2001475,11
Germany,July,EgyptAir,1992270,3
Germany,July,Royal Air Maroc,1595671,3
Germany,July,American Airlines,1400378,7
Germany,July,Cathay Pacific,1813923,1
Germany,July,Japan Airlines,1681757,12
Germany,July,Malaysia Airlines,1537955,3
Germany,July,Thai Airways,2009220,7
Germany,July,Air India,1936196,11
Germany,July,Brussels Airlines,2069563,2
Germany,July,Swiss Air,1612634,7
Germany,July,Finnair,1572622,5
Germany,July,Austrian Airlines,1908042,8
Germany,August,Emirates,1619721,4
Germany,August,Qatar Airways,1636208,5
Germany,August,Turkish Airlines,1817063,4
Germany,August,British Airways,2081150,9
Germany,August,Lufthansa,1765228,2
Germany,August,Air France,1559985,11
Germany,August,KLM,2059700,8
Germany,August,Delta Airlines,1862320,6
Germany,August,United Airlines,1600086,7
Germany,August,Virgin Atlantic,1690197,8
Germany,August,Ethiopian Airlines,1990361,11
Germany,August,Kenya Airways,1916962,9
Germany,August,RwandAir,1732211,8
Germany,August,South African Airways,1796466,11
Germany,August,Air Canada,1532331,1
Germany,August,Singapore Airlines,1645686,5
Germany,August,Etihad Airways,1483759,5
Germany,August,Saudi Airlines,1899194,5
Germany,August,EgyptAir,1596635,3
Germany,August,Royal Air Maroc,1940712,12
Germany,August,American Airlines,1751662,5
Germany,August,Cathay Pacific,1759623,1
Germany,August,Japan Airlines,1808192,1
Germany,August,Malaysia Airlines,1636650,3
Germany,August,Thai Airways,1918855,1
Germany,August,Air India,1567470,12
Germany,August,Brussels Airlines,1786170,11
Germany,August,Swiss Air,1861544,10
Germany,August,Finnair,2018388,6
Germany,August,Austrian Airlines,1956705,6
Germany,September,Emirates,1145206,3
Germany,September,Qatar Airways,1128426,7
Germany,September,Turkish Airlines,1331892,7
Germany,September,British Airways,1390074,5
Germany,September,Lufthansa,1344583,11
Germany,September,Air France,1395109,7
Germany,September,KLM,1405337,9
Germany,September,Delta Airlines,1381804,7
Germany,September,United Airlines,1445034,9
Germany,September,Virgin Atlantic,1132135,2
Germany,September,Ethiopian Airlines,1187600,1
Germany,September,Kenya Airways,1218671,5
Germany,September,RwandAir,1305723,12
Germany,September,South African Airways,1443764,9
Germany,September,Air Canada,1370093,7
Germany,September,Singapore Airlines,1332191,6
Germany,September,Etihad Airways,1153457,1
Germany,September,Saudi Airlines,1365491,6
Germany,September,EgyptAir,1333280,12
Germany,September,Royal Air Maroc,1408588,8
Germany,September,American Airlines,1399210,9
Germany,September,Cathay Pacific,1437410,12
Germany,September,Japan Airlines,1231927,4
Germany,September,Malaysia Airlines,1153305,10
Germany,September,Thai Airways,1427187,1
Germany,September,Air India,1221398,12
Germany,September,Brussels Airlines,1243615,11
Germany,September,Swiss Air,1381241,10
Germany,September,Finnair,1238611,5
Germany,September,Austrian Airlines,1167498,2
Germany,October,Emirates,1457127,5
Germany,October,Qatar Airways,1415256,8
Germany,October,Turkish Airlines,1171607,8
Germany,October,British Airways,1460297,4
Germany,October,Lufthansa,1297036,12
Germany,October,Air France,1175596,5
Germany,October,KLM,1278799,8
Germany,October,Delta Airlines,1346776,6
Germany,October,United Airlines,1212037,9
Germany,October,Virgin Atlantic,1171951,1
Germany,October,Ethiopian Airlines,1473819,2
Germany,October,Kenya Airways,1335577,1
Germany,October,RwandAir,1165184,1
Germany,October,South African Airways,1130349,9
Germany,October,Air Canada,1126550,11
Germany,October,Singapore Airlines,1339642,5
Germany,October,Etihad Airways,1238074,2
Germany,October,Saudi Airlines,1267689,12
Germany,October,EgyptAir,1424284,2
Germany,October,Royal Air Maroc,1187136,9
Germany,October,American Airlines,1124243,4
Germany,October,Cathay Pacific,1460880,5
Germany,October,Japan Airlines,1407970,12
Germany,October,Malaysia Airlines,1380289,1
Germany,October,Thai Airways,1136963,4
Germany,October,Air India,1186864,4
Germany,October,Brussels Airlines,1399134,7
Germany,October,Swiss Air,1219895,6
Germany,October,Finnair,1432904,9
Germany,October,Austrian Airlines,1176767,12
Germany,November,Emirates,1274424,7
Germany,November,Qatar Airways,1256515,7
Germany,November,Turkish Airlines,1178240,8
Germany,November,British Airways,1229408,10
Germany,November,Lufthansa,1395439,5
Germany,November,Air France,1127923,8
Germany,November,KLM,1188373,12
Germany,November,Delta Airlines,1331541,5
Germany,November,United Airlines,1225864,11
Germany,November,Virgin Atlantic,1252963,11
Germany,November,Ethiopian Airlines,1340934,2
Germany,November,Kenya Airways,1319814,12
Germany,November,RwandAir,1380356,6
Germany,November,South African Airways,1350713,1
Germany,November,Air Canada,1343130,9
Germany,November,Singapore Airlines,1152808,10
Germany,November,Etihad Airways,1285283,11
Germany,November,Saudi Airlines,1239712,1
Germany,November,EgyptAir,1196689,9
Germany,November,Royal Air Maroc,1486894,1
Germany,November,American Airlines,1332011,9
Germany,November,Cathay Pacific,1436646,12
Germany,November,Japan Airlines,1191783,2
Germany,November,Malaysia Airlines,1253666,5
Germany,November,Thai Airways,1415634,12
Germany,November,Air India,1381439,4
Germany,November,Brussels Airlines,1127920,6
Germany,November,Swiss Air,1464649,6
Germany,November,Finnair,1218737,8
Germany,November,Austrian Airlines,1446318,3
Germany,December,Emirates,1723664,4
Germany,December,Qatar Airways,1773662,1
Germany,December,Turkish Airlines,1656525,5
Germany,December,British Airways,1928986,8
Germany,December,Lufthansa,1772447,7
Germany,December,Air France,2058702,3
Germany,December,KLM,1926567,8
Germany,December,Delta Airlines,1468945,8
Germany,December,United Airlines,1821552,11
Germany,December,Virgin Atlantic,1774762,10
Germany,December,Ethiopian Airlines,1590239,12
Germany,December,Kenya Airways,1639004,6
Germany,December,RwandAir,1533327,5
Germany,December,South African Airways,1943686,10
Germany,December,Air Canada,1578748,7
Germany,December,Singapore Airlines,1793294,6
Germany,December,Etihad Airways,1726544,12
Germany,December,Saudi Airlines,1771801,8
Germany,December,EgyptAir,1568717,12
Germany,December,Royal Air Maroc,1840874,1
Germany,December,American Airlines,1518550,4
Germany,December,Cathay Pacific,2137418,1
Germany,December,Japan Airlines,1667989,12
Germany,December,Malaysia Airlines,1741830,11
Germany,December,Thai Airways,1830462,5
Germany,December,Air India,1717303,4
Germany,December,Brussels Airlines,1927019,3
Germany,December,Swiss Air,1505325,5
Germany,December,Finnair,1893228,5
Germany,December,Austrian Airlines,1983573,10
Italy,January,Emirates,1557951,10
Italy,January,Qatar Airways,1589180,10
Italy,January,Turkish Airlines,1517172,8
Italy,January,British Airways,1530478,2
Italy,January,Lufthansa,1873286,4
Italy,January,Air France,1754771,8
Italy,January,KLM,1933380,3
Italy,January,Delta Airlines,1822855,2
Italy,January,United Airlines,1739901,5
Italy,January,Virgin Atlantic,1879936,4
Italy,January,Ethiopian Airlines,1791001,7
Italy,January,Kenya Airways,2071678,12
Italy,January,RwandAir,1662709,5
Italy,January,South African Airways,1959881,7
Italy,January,Air Canada,1766535,12
Italy,January,Singapore Airlines,1873220,10
Italy,January,Etihad Airways,2077888,2
Italy,January,Saudi Airlines,2110937,7
Italy,January,EgyptAir,2028178,6
Italy,January,Royal Air Maroc,1718944,10
Italy,January,American Airlines,2006124,10
Italy,January,Cathay Pacific,2269992,9
Italy,January,Japan Airlines,1639451,11
Italy,January,Malaysia Airlines,1695655,5
Italy,January,Thai Airways,1716061,11
Italy,January,Air India,1898755,9
Italy,January,Brussels Airlines,1828154,2
Italy,January,Swiss Air,2096011,5
Italy,January,Finnair,2266627,7
Italy,January,Austrian Airlines,1852971,12
Italy,February,Emirates,1731038,8
Italy,February,Qatar Airways,1772451,3
Italy,February,Turkish Airlines,1996494,12
Italy,February,British Airways,2067619,4
Italy,February,Lufthansa,2069931,4
Italy,February,Air France,1971919,2
Italy,February,KLM,1965879,5
Italy,February,Delta Airlines,2216779,4
Italy,February,United Airlines,1954490,2
Italy,February,Virgin Atlantic,2107473,6
Italy,February,Ethiopian Airlines,2055265,8
Italy,February,Kenya Airways,1591614,5
Italy,February,RwandAir,1614848,4
Italy,February,South African Airways,1952518,5
Italy,February,Air Canada,1603696,8
Italy,February,Singapore Airlines,1768740,5
Italy,February,Etihad Airways,2054977,9
Italy,February,Saudi Airlines,1936316,11
Italy,February,EgyptAir,1687964,12
Italy,February,Royal Air Maroc,1955562,2
Italy,February,American Airlines,2200974,10
Italy,February,Cathay Pacific,1776306,11
Italy,February,Japan Airlines,1755850,8
Italy,February,Malaysia Airlines,1975724,2
Italy,February,Thai Airways,2050563,12
Italy,February,Air India,1705478,11
Italy,February,Brussels Airlines,2103785,7
Italy,February,Swiss Air,1711214,2
Italy,February,Finnair,1731118,4
Italy,February,Austrian Airlines,2165223,7
Italy,March,Emirates,2299768,4
Italy,March,Qatar Airways,2332453,10
Italy,March,Turkish Airlines,1787046,9
Italy,March,British Airways,1791934,3
Italy,March,Lufthansa,2246978,10
Italy,March,Air France,1972553,10
Italy,March,KLM,1882900,1
Italy,March,Delta Airlines,2044418,2
Italy,March,United Airlines,2226721,8
Italy,March,Virgin Atlantic,2140726,10
Italy,March,Ethiopian Airlines,1848903,5
Italy,March,Kenya Airways,1984050,4
Italy,March,RwandAir,2179042,7
Italy,March,South African Airways,1871964,8
Italy,March,Air Canada,1974065,12
Italy,March,Singapore Airlines,2301647,5
Italy,March,Etihad Airways,2349494,7
Italy,March,Saudi Airlines,2070134,5
Italy,March,EgyptAir,1849438,4
Italy,March,Royal Air Maroc,1771051,10
Italy,March,American Airlines,2326434,11
Italy,March,Cathay Pacific,2246962,12
Italy,March,Japan Airlines,2328555,2
Italy,March,Malaysia Airlines,1986818,1
Italy,March,Thai Airways,2214071,7
Italy,March,Air India,2177426,8
Italy,March,Brussels Airlines,2048009,9
Italy,March,Swiss Air,2134940,4
Italy,March,Finnair,2242527,8
Italy,March,Austrian Airlines,2017738,9
Italy,April,Emirates,2198935,10
Italy,April,Qatar Airways,1938145,5
Italy,April,Turkish Airlines,1933109,8
Italy,April,British Airways,1809416,5
Italy,April,Lufthansa,2257740,2
Italy,April,Air France,2327876,9
Italy,April,KLM,2282397,7
Italy,April,Delta Airlines,1994951,1
Italy,April,United Airlines,1788111,4
Italy,April,Virgin Atlantic,2179719,12
Italy,April,Ethiopian Airlines,2038405,11
Italy,April,Kenya Airways,2161799,3
Italy,April,RwandAir,2167722,7
Italy,April,South African Airways,2211300,6
Italy,April,Air Canada,1874522,2
Italy,April,Singapore Airlines,1947927,7
Italy,April,Etihad Airways,2008461,3
Italy,April,Saudi Airlines,2240124,10
Italy,April,EgyptAir,2204094,8
Italy,April,Royal Air Maroc,2012400,12
Italy,April,American Airlines,2006279,7
Italy,April,Cathay Pacific,2147448,10
Italy,April,Japan Airlines,1981926,9
Italy,April,Malaysia Airlines,1929057,7
